# gpu-monitor (python, per-sample flush) start
2026/06/23 19:00:06.116, 51, 100 %, 128.39 W, 32014 MiB, 32607 MiB
2026/06/23 19:00:21.165, 51, 100 %, 136.83 W, 32014 MiB, 32607 MiB
2026/06/23 19:00:36.215, 53, 100 %, 129.63 W, 32014 MiB, 32607 MiB
2026/06/23 19:00:51.268, 52, 100 %, 145.61 W, 32014 MiB, 32607 MiB
2026/06/23 19:01:06.312, 51, 100 %, 138.29 W, 32014 MiB, 32607 MiB
2026/06/23 19:01:21.357, 51, 100 %, 132.03 W, 32014 MiB, 32607 MiB
2026/06/23 19:01:36.403, 51, 100 %, 131.01 W, 32014 MiB, 32607 MiB
2026/06/23 19:01:51.439, 51, 100 %, 135.69 W, 32014 MiB, 32607 MiB
2026/06/23 19:02:06.487, 51, 100 %, 145.65 W, 32014 MiB, 32607 MiB
2026/06/23 19:02:21.534, 51, 100 %, 137.40 W, 32014 MiB, 32607 MiB
2026/06/23 19:02:36.577, 51, 100 %, 132.71 W, 32014 MiB, 32607 MiB
